"","buying","maint","doors","persons","lug_boot","safety","class"
"1952","med","low","5more","more","big","med","good"
"1953","low","vhigh","4","4","med","med","unacc"
"1954","high","low","4","more","small","low","unacc"
"1955","high","high","4","2","med","high","unacc"
"1956","vhigh","low","3","2","small","high","unacc"
"1957","high","low","2","more","small","high","unacc"
"1958","vhigh","high","3","2","small","low","unacc"
"1959","med","high","3","2","small","high","unacc"
"1960","vhigh","low","3","more","small","high","acc"
"1961","med","med","3","more","big","high","acc"
"1962","med","high","2","4","med","med","unacc"
"1963","med","low","4","4","big","high","vgood"
"1964","med","vhigh","3","2","big","low","unacc"
"1965","med","med","3","2","small","med","unacc"
"1966","low","low","5more","more","med","med","good"
"1967","high","med","2","2","big","med","unacc"
"1968","low","vhigh","2","2","med","low","unacc"
"1969","high","low","5more","4","small","low","unacc"
"1970","vhigh","high","4","4","big","high","unacc"
"1971","vhigh","vhigh","5more","more","small","low","unacc"
"1972","high","vhigh","2","2","small","low","unacc"
"1973","high","vhigh","3","more","small","high","acc"
"1974","high","high","4","more","small","med","acc"
"1975","low","low","5more","2","big","low","unacc"
"1976","high","high","5more","more","big","med","unacc"
"1977","low","low","3","4","big","low","good"
"1978","high","low","3","4","small","low","unacc"
"1979","med","high","3","more","small","med","unacc"
"1980","med","med","3","4","med","med","unacc"
"1981","vhigh","vhigh","5more","4","med","high","unacc"
"1982","low","low","5more","4","med","med","good"
"1983","med","high","3","4","small","low","unacc"
"1984","high","high","5more","2","big","med","unacc"
"1985","med","high","5more","2","med","high","unacc"
"1986","high","med","5more","2","big","low","unacc"
"1987","low","med","3","4","big","med","good"
"1988","high","med","5more","more","med","low","unacc"
"1989","low","vhigh","2","4","med","low","unacc"
"1990","high","low","3","more","med","high","unacc"
"1991","vhigh","med","5more","more","small","low","unacc"
"1992","vhigh","vhigh","5more","more","small","med","unacc"
"1993","high","low","2","more","med","med","unacc"
"1994","high","low","3","4","big","low","unacc"
"1995","vhigh","med","3","2","med","low","unacc"
"1996","low","low","2","4","small","med","good"
"1997","vhigh","low","3","more","med","med","acc"
"1998","vhigh","high","3","4","small","med","unacc"
"1999","vhigh","low","4","2","small","med","unacc"
"2000","med","low","5more","more","med","high","good"
"2001","vhigh","high","4","more","small","high","unacc"
"2002","low","high","4","4","small","high","unacc"
"2003","low","vhigh","2","4","big","high","acc"
"2004","high","high","3","2","med","low","unacc"
"2005","low","low","4","more","small","low","unacc"
"2006","vhigh","med","2","more","med","low","unacc"
"2007","high","vhigh","2","2","med","med","unacc"
"2008","med","med","2","4","small","low","unacc"
"2009","vhigh","vhigh","5more","4","small","high","unacc"
"2010","med","med","3","2","big","med","unacc"
"2011","low","med","4","more","small","low","unacc"
"2012","high","low","4","2","small","low","unacc"
"2013","low","med","4","4","small","high","good"
"2014","med","vhigh","3","more","small","high","unacc"
"2015","vhigh","high","5more","more","small","high","unacc"
"2016","med","low","4","4","big","high","acc"
"2017","med","high","4","more","med","low","unacc"
"2018","low","low","4","2","med","low","unacc"
"2019","high","low","4","2","big","low","unacc"
"2020","vhigh","low","4","4","med","low","unacc"
"2021","low","high","5more","more","big","low","unacc"
"2022","med","vhigh","2","2","med","med","unacc"
"2023","med","high","4","2","small","high","unacc"
"2024","vhigh","high","2","2","big","med","unacc"
"2025","high","low","3","more","med","low","unacc"
"2026","low","low","3","4","big","high","good"
"2027","high","med","2","4","med","med","acc"
"2028","low","low","2","4","small","med","unacc"
"2029","med","med","4","more","big","high","vgood"
"2030","vhigh","vhigh","2","4","big","high","unacc"
"2031","med","vhigh","3","4","small","low","unacc"
"2032","vhigh","med","2","4","big","low","unacc"
"2033","high","high","5more","4","med","low","unacc"
"2034","med","med","4","more","small","high","acc"
"2035","med","med","4","more","med","high","acc"
"2036","high","high","2","more","big","high","acc"
"2037","high","vhigh","4","more","med","med","unacc"
"2038","vhigh","vhigh","4","2","small","low","unacc"
"2039","low","high","4","more","big","med","acc"
"2040","low","high","3","more","med","med","unacc"
"2041","med","vhigh","4","4","big","low","unacc"
"2042","low","high","5more","more","big","low","unacc"
"2043","med","vhigh","2","4","big","low","unacc"
"2044","med","high","5more","4","small","high","acc"
"2045","high","med","4","2","small","med","unacc"
"2046","low","low","4","2","med","high","unacc"
"2047","vhigh","vhigh","5more","2","med","med","unacc"
"2048","high","high","5more","2","med","high","unacc"
"2049","vhigh","vhigh","2","4","med","high","unacc"
"2050","high","med","3","2","small","low","unacc"
"2051","vhigh","high","5more","2","med","med","unacc"
"2052","med","vhigh","5more","4","big","med","acc"
"2053","low","med","2","2","big","high","unacc"
"2054","vhigh","vhigh","3","4","small","high","good"
"2055","med","low","5more","2","big","high","unacc"
"2056","vhigh","low","5more","more","big","high","acc"
"2057","med","low","5more","more","med","high","vgood"
"2058","med","vhigh","2","more","small","med","acc"
"2059","high","med","3","2","med","high","unacc"
"2060","vhigh","med","3","4","big","med","acc"
"2061","vhigh","high","2","4","med","high","unacc"
"2062","high","low","5more","4","big","high","acc"
"2063","high","high","4","more","small","high","acc"
"2064","high","high","5more","more","med","high","unacc"
"2065","high","med","5more","2","big","low","unacc"
"2066","low","med","3","more","small","low","unacc"
"2067","low","high","5more","4","small","low","unacc"
"2068","low","low","2","more","med","low","unacc"
"2069","high","vhigh","3","4","small","low","unacc"
"2070","high","high","4","2","med","low","unacc"
"2071","vhigh","low","5more","4","small","low","unacc"
"2072","med","high","5more","2","big","low","unacc"
"2073","vhigh","med","5more","more","big","high","acc"
"2074","low","low","3","2","big","med","unacc"
"2075","low","med","3","more","small","med","good"
"2076","high","vhigh","5more","more","big","high","unacc"
"2077","high","vhigh","2","more","small","low","unacc"
"2078","high","low","4","2","med","high","unacc"
"2079","low","vhigh","4","2","med","high","unacc"
"2080","vhigh","low","4","2","big","low","unacc"
"2081","high","vhigh","5more","4","big","high","unacc"
"2082","med","vhigh","2","4","med","low","unacc"
"2083","low","low","3","more","med","med","acc"
"2084","med","vhigh","3","4","med","med","unacc"
"2085","high","vhigh","5more","more","med","high","unacc"
"2086","high","med","4","2","big","low","unacc"
"2087","high","high","4","4","small","high","acc"
"2088","high","low","2","2","big","med","unacc"
"2089","vhigh","vhigh","2","4","big","low","unacc"
"2090","vhigh","vhigh","2","4","small","low","unacc"
"2091","low","high","3","2","med","high","unacc"
"2092","med","vhigh","4","2","small","high","unacc"
"2093","low","med","4","2","med","low","unacc"
"2094","low","vhigh","4","4","small","med","acc"
"2095","low","med","3","4","small","low","unacc"
"2096","vhigh","vhigh","3","more","small","low","unacc"
"2097","high","med","5more","more","big","high","acc"
"2098","med","vhigh","3","2","small","high","unacc"
"2099","med","vhigh","3","4","big","high","acc"
"2100","high","high","4","4","small","med","unacc"
"2101","med","vhigh","3","more","big","low","unacc"
"2102","high","vhigh","4","more","big","low","unacc"
"2103","low","high","4","2","med","low","unacc"
"2104","vhigh","low","4","4","small","med","unacc"
"2105","vhigh","low","4","more","med","med","acc"
"2106","vhigh","med","4","more","small","low","unacc"
"2107","med","low","4","more","med","med","good"
"2108","vhigh","med","5more","4","big","high","acc"
"2109","low","med","5more","4","med","high","vgood"
"2110","low","low","4","more","big","med","unacc"
"2111","med","vhigh","3","4","small","low","acc"
"2112","med","vhigh","4","more","small","med","acc"
"2113","low","high","4","2","small","low","unacc"
"2114","med","med","4","2","med","med","unacc"
"2115","med","low","3","2","med","high","unacc"
"2116","vhigh","med","5more","2","big","low","unacc"
"2117","med","vhigh","4","more","small","high","acc"
"2118","low","low","3","more","big","high","vgood"
"2119","vhigh","high","4","2","big","med","unacc"
"2120","high","med","4","2","med","low","unacc"
"2121","vhigh","vhigh","5more","2","small","high","unacc"
"2122","low","vhigh","3","2","med","high","unacc"
"2123","high","low","5more","4","big","high","unacc"
"2124","vhigh","low","2","4","big","low","unacc"
"2125","vhigh","vhigh","4","2","med","med","unacc"
"2126","low","vhigh","2","2","big","med","unacc"
"2127","low","med","4","2","big","med","unacc"
"2128","vhigh","vhigh","4","2","med","low","unacc"
"2129","high","vhigh","2","2","med","med","unacc"
"2130","med","low","4","more","small","high","good"
"2131","vhigh","vhigh","2","4","small","med","unacc"
"2132","vhigh","low","5more","2","big","high","unacc"
"2133","vhigh","high","3","4","big","low","unacc"
"2134","vhigh","low","4","4","small","high","acc"
"2135","high","low","3","2","small","high","unacc"
"2136","vhigh","vhigh","4","2","med","high","unacc"
"2137","high","med","5more","4","med","low","unacc"
"2138","vhigh","high","3","2","med","low","unacc"
"2139","low","low","2","4","small","low","unacc"
"2140","vhigh","vhigh","3","2","med","high","unacc"
"2141","low","vhigh","3","2","big","med","unacc"
"2142","vhigh","med","2","more","big","low","unacc"
"2143","high","med","3","4","med","med","acc"
"2144","high","low","5more","4","small","med","unacc"
"2145","high","med","3","4","small","med","unacc"
"2146","low","low","3","4","small","low","unacc"
"2147","vhigh","low","3","2","med","high","unacc"
"2148","high","low","3","more","small","med","acc"
"2149","low","high","2","2","med","high","unacc"
"2150","high","high","2","2","big","low","unacc"
"2151","vhigh","high","5more","2","big","high","unacc"
"2152","med","low","5more","2","small","high","unacc"
"2153","high","high","3","2","big","low","unacc"
"2154","med","med","4","4","big","high","vgood"
"2155","low","low","5more","more","med","med","good"
"2156","low","med","4","2","small","low","unacc"
"2157","vhigh","med","5more","4","med","med","acc"
"2158","vhigh","med","5more","4","big","high","acc"
"2159","high","vhigh","2","more","big","low","unacc"
"2160","med","med","3","4","small","med","acc"
"2161","low","vhigh","3","2","med","med","unacc"
"2162","vhigh","high","4","2","small","low","unacc"
"2163","high","med","2","2","big","low","unacc"
"2164","med","vhigh","5more","2","small","low","unacc"
"2165","med","med","2","2","small","high","unacc"
"2166","low","low","3","4","small","med","acc"
"2167","vhigh","med","5more","2","med","high","unacc"
"2168","vhigh","med","5more","more","small","high","unacc"
"2169","med","med","3","more","small","med","acc"
"2170","low","med","5more","2","med","high","unacc"
"2171","high","med","3","more","big","low","unacc"
"2172","high","low","4","more","med","low","acc"
"2173","vhigh","high","3","2","small","low","unacc"
"2174","med","high","4","2","big","high","unacc"
"2175","high","vhigh","4","more","small","high","unacc"
"2176","med","low","5more","more","big","high","vgood"
"2177","vhigh","high","4","4","big","low","unacc"
"2178","vhigh","med","5more","2","big","high","unacc"
"2179","low","low","2","2","big","low","unacc"
"2180","high","med","3","more","big","med","acc"
"2181","low","vhigh","3","4","big","low","acc"
"2182","vhigh","vhigh","3","2","med","high","unacc"
"2183","high","high","3","4","small","med","unacc"
"2184","vhigh","vhigh","2","4","med","low","unacc"
"2185","low","low","2","more","med","low","unacc"
"2186","vhigh","med","3","4","small","med","unacc"
"2187","med","med","4","more","med","high","vgood"
"2188","high","vhigh","3","4","med","high","unacc"
"2189","med","med","3","more","big","high","vgood"
"2190","low","med","5more","2","big","low","unacc"
"2191","vhigh","med","5more","more","med","low","unacc"
"2192","low","vhigh","4","4","big","high","unacc"
"2193","vhigh","vhigh","5more","4","big","low","unacc"
"2194","high","high","4","4","small","low","unacc"
"2195","med","med","4","more","med","low","unacc"
"2196","med","vhigh","5more","4","big","low","unacc"
"2197","vhigh","high","5more","4","med","med","unacc"
"2198","high","low","5more","4","small","med","unacc"
"2199","med","med","5more","more","big","low","unacc"
"2200","vhigh","vhigh","5more","2","med","med","unacc"
"2201","med","low","4","more","small","high","good"
"2202","vhigh","med","3","more","med","med","unacc"
"2203","high","med","3","more","big","high","acc"
"2204","vhigh","med","2","4","med","low","unacc"
"2205","low","high","5more","4","big","high","vgood"
"2206","high","vhigh","5more","more","med","med","unacc"
"2207","vhigh","low","2","4","small","low","unacc"
"2208","high","low","3","4","small","low","unacc"
"2209","low","vhigh","3","more","big","high","acc"
"2210","low","high","2","more","small","high","unacc"
"2211","med","high","5more","4","big","high","acc"
"2212","high","high","4","more","med","high","acc"
"2213","low","low","5more","4","small","high","good"
"2214","high","low","5more","4","small","med","unacc"
"2215","high","low","2","4","big","low","unacc"
"2216","high","vhigh","5more","2","small","med","unacc"
"2217","vhigh","med","2","4","small","low","unacc"
"2218","vhigh","low","2","2","med","high","acc"
"2219","low","high","3","4","small","med","unacc"
"2220","med","med","3","more","big","med","unacc"
"2221","high","vhigh","3","4","small","high","unacc"
"2222","vhigh","med","3","2","med","med","unacc"
"2223","vhigh","med","5more","4","small","high","acc"
"2224","low","low","4","4","med","high","vgood"
"2225","med","vhigh","5more","4","big","med","acc"
"2226","high","vhigh","5more","more","med","low","unacc"
"2227","low","med","3","more","small","high","good"
"2228","low","high","2","4","small","med","unacc"
"2229","low","vhigh","2","4","med","low","unacc"
"2230","low","high","3","2","big","med","unacc"
"2231","low","high","2","4","med","high","good"
"2232","med","low","3","2","med","low","unacc"
"2233","vhigh","high","2","more","big","med","unacc"
"2234","low","med","4","2","big","high","unacc"
"2235","vhigh","med","4","4","big","med","acc"
"2236","med","high","5more","more","big","med","unacc"
"2237","vhigh","high","2","2","big","high","unacc"
"2238","med","high","4","2","med","high","unacc"
"2239","high","high","2","4","med","high","acc"
"2240","low","low","5more","more","med","med","good"
"2241","vhigh","vhigh","3","more","med","low","unacc"
"2242","med","vhigh","4","more","med","low","unacc"
"2243","vhigh","high","5more","2","big","high","unacc"
"2244","med","vhigh","4","2","med","high","unacc"
"2245","high","vhigh","5more","2","small","high","unacc"
"2246","vhigh","low","5more","more","small","low","unacc"
"2247","med","vhigh","5more","4","med","high","acc"
"2248","high","med","5more","more","big","low","unacc"
"2249","low","low","5more","4","big","high","vgood"
"2250","med","vhigh","2","more","small","med","unacc"
"2251","vhigh","vhigh","3","2","med","med","unacc"
"2252","vhigh","vhigh","5more","4","big","high","unacc"
"2253","high","high","3","4","big","low","unacc"
"2254","vhigh","med","2","2","small","high","unacc"
"2255","vhigh","med","5more","more","small","low","unacc"
"2256","med","high","4","4","med","high","acc"
"2257","low","low","5more","2","med","high","unacc"
"2258","vhigh","high","3","more","med","med","acc"
"2259","vhigh","vhigh","5more","4","med","high","unacc"
"2260","low","low","5more","4","med","high","vgood"
"2261","high","vhigh","3","more","small","high","unacc"
"2262","vhigh","high","5more","more","med","med","unacc"
"2263","high","low","3","more","small","low","unacc"
"2264","vhigh","low","5more","more","big","low","unacc"
"2265","vhigh","high","5more","4","big","high","unacc"
"2266","vhigh","low","5more","2","small","high","unacc"
"2267","low","med","3","4","small","low","unacc"
"2268","vhigh","vhigh","4","2","big","low","unacc"
"2269","vhigh","high","3","4","small","low","unacc"
"2270","med","vhigh","2","4","small","med","unacc"
"2271","med","med","5more","more","small","low","unacc"
"2272","low","med","5more","2","small","med","unacc"
"2273","vhigh","med","4","more","small","high","unacc"
"2274","vhigh","low","5more","4","med","high","unacc"
"2275","high","med","3","more","small","low","unacc"
"2276","vhigh","high","3","2","big","low","unacc"
"2277","med","vhigh","2","4","big","med","acc"
"2278","med","low","4","more","big","low","unacc"
"2279","low","vhigh","5more","4","small","med","unacc"
"2280","high","vhigh","2","more","small","high","unacc"
"2281","med","high","5more","4","big","high","acc"
"2282","vhigh","low","2","2","small","low","unacc"
"2283","med","vhigh","4","4","med","high","acc"
"2284","low","low","5more","more","med","med","unacc"
"2285","vhigh","vhigh","5more","4","med","high","unacc"
"2286","vhigh","low","5more","2","small","low","unacc"
"2287","vhigh","low","4","2","med","high","unacc"
"2288","vhigh","vhigh","4","more","small","high","unacc"
"2289","med","high","4","2","big","high","unacc"
"2290","med","med","2","2","big","high","unacc"
"2291","med","low","3","4","big","low","unacc"
"2292","med","med","5more","4","big","high","acc"
"2293","med","vhigh","5more","more","med","high","acc"
"2294","vhigh","med","2","2","med","high","unacc"
"2295","low","low","2","4","med","high","acc"
"2296","vhigh","vhigh","4","more","big","high","acc"
"2297","low","vhigh","2","more","small","med","unacc"
"2298","med","low","3","2","small","low","unacc"
"2299","med","low","3","4","big","med","good"
"2300","med","high","5more","2","med","low","unacc"
"2301","high","med","2","more","med","low","unacc"
"2302","high","vhigh","4","2","small","med","unacc"
"2303","low","high","2","more","med","med","acc"
"2304","high","vhigh","5more","2","small","low","unacc"
"2305","vhigh","med","2","2","med","med","unacc"
"2306","low","vhigh","5more","2","small","low","unacc"
"2307","low","vhigh","3","more","small","low","unacc"
"2308","high","vhigh","2","2","med","high","unacc"
"2309","high","med","5more","4","med","high","acc"
"2310","vhigh","low","4","4","small","low","unacc"
"2311","low","vhigh","4","more","small","high","acc"
"2312","high","low","4","more","small","low","unacc"
"2313","med","low","3","4","small","low","unacc"
"2314","high","med","3","4","med","low","unacc"
"2315","vhigh","high","2","4","big","low","unacc"
"2316","high","vhigh","3","4","big","high","unacc"
"2317","med","low","5more","2","med","low","unacc"
"2318","vhigh","med","2","more","med","med","unacc"
"2319","high","med","5more","2","big","low","unacc"
"2320","high","vhigh","2","2","small","med","unacc"
"2321","high","med","4","2","med","low","unacc"
"2322","low","vhigh","5more","4","med","high","acc"
"2323","med","vhigh","4","more","small","high","acc"
"2324","low","low","2","more","small","high","unacc"
"2325","high","low","3","more","small","low","unacc"
"2326","high","med","2","2","big","low","unacc"
"2327","med","high","3","4","med","low","unacc"
"2328","med","med","5more","4","small","high","acc"
"2329","low","med","5more","2","big","low","unacc"
"2330","high","low","4","4","small","high","acc"
"2331","vhigh","med","3","more","med","low","unacc"
"2332","low","med","3","4","small","med","good"
"2333","med","low","2","2","med","low","unacc"
"2334","vhigh","vhigh","3","more","small","low","unacc"
"2335","low","vhigh","4","more","small","med","acc"
"2336","med","high","5more","more","med","high","acc"
"2337","high","med","4","2","big","low","unacc"
"2338","high","low","2","2","med","high","acc"
"2339","high","high","2","2","med","low","unacc"
"2340","high","low","2","2","big","med","unacc"
"2341","vhigh","high","4","2","med","med","unacc"
"2342","low","high","5more","2","med","low","unacc"
"2343","vhigh","med","3","4","big","high","unacc"
"2344","med","low","2","2","med","high","unacc"
"2345","vhigh","high","4","2","big","high","unacc"
"2346","med","med","2","2","big","high","unacc"
"2347","med","high","4","more","med","med","acc"
"2348","vhigh","low","4","4","big","med","acc"
"2349","high","vhigh","2","2","med","low","unacc"
"2350","vhigh","vhigh","3","4","med","low","unacc"
"2351","med","high","4","2","big","med","unacc"
"2352","high","high","5more","4","small","low","unacc"
"2353","low","med","3","more","med","high","vgood"
"2354","med","low","3","more","med","high","vgood"
"2355","low","med","4","2","big","low","unacc"
"2356","med","low","4","more","med","high","acc"
"2357","low","high","4","4","small","low","unacc"
"2358","vhigh","high","3","4","small","low","unacc"
"2359","low","low","3","more","big","low","unacc"
"2360","med","vhigh","5more","more","med","high","acc"
"2361","vhigh","low","2","2","big","low","unacc"
"2362","vhigh","low","5more","4","med","low","unacc"
"2363","low","low","5more","more","med","med","vgood"
"2364","med","vhigh","2","2","big","low","unacc"
"2365","vhigh","high","3","4","big","med","unacc"
"2366","high","low","5more","2","med","high","unacc"
"2367","med","vhigh","2","2","med","med","unacc"
"2368","vhigh","vhigh","3","more","med","med","acc"
"2369","med","high","5more","2","small","high","unacc"
"2370","med","med","4","2","small","low","unacc"
"2371","high","med","3","4","med","low","unacc"
"2372","high","high","3","2","med","med","unacc"
"2373","low","vhigh","3","4","small","med","unacc"
"2374","med","vhigh","2","4","big","med","unacc"
"2375","high","high","4","2","big","low","unacc"
"2376","high","vhigh","2","2","med","low","unacc"
"2377","med","low","3","4","med","high","acc"
"2378","low","med","3","more","big","high","acc"
"2379","vhigh","high","3","more","med","low","unacc"
"2380","vhigh","low","4","4","med","med","acc"
"2381","vhigh","med","4","4","med","med","acc"
"2382","med","high","4","more","small","low","unacc"
"2383","low","low","5more","4","small","high","good"
"2384","vhigh","high","2","4","med","high","unacc"
"2385","low","vhigh","4","more","small","high","acc"
"2386","vhigh","high","5more","2","med","high","unacc"
"2387","high","med","5more","more","big","med","acc"
"2388","high","high","5more","4","big","high","acc"
"2389","high","low","3","4","small","high","good"
"2390","high","low","3","2","med","med","unacc"
"2391","vhigh","med","3","more","med","low","unacc"
"2392","vhigh","low","4","more","small","low","unacc"
"2393","low","high","2","4","small","high","acc"
"2394","low","high","4","4","med","low","unacc"
"2395","low","low","2","4","big","low","unacc"
"2396","vhigh","high","2","more","big","med","unacc"
"2397","high","med","5more","more","small","low","unacc"
"2398","med","low","4","4","med","low","good"
"2399","med","low","5more","more","med","low","unacc"
"2400","med","med","4","2","small","high","unacc"
"2401","med","low","3","2","big","med","unacc"
"2402","med","low","2","2","big","med","unacc"
"2403","high","med","4","4","med","high","acc"
"2404","vhigh","vhigh","3","4","big","low","unacc"
"2405","vhigh","vhigh","3","4","med","med","unacc"
"2406","high","med","5more","more","big","med","acc"
"2407","med","vhigh","3","4","med","med","unacc"
"2408","low","vhigh","3","more","med","med","unacc"
"2409","low","low","4","2","med","low","unacc"
"2410","vhigh","low","3","more","med","low","unacc"
"2411","med","high","5more","more","big","low","unacc"
"2412","high","low","3","2","med","low","unacc"
"2413","high","vhigh","4","more","med","high","unacc"
"2414","vhigh","low","4","2","small","low","unacc"
"2415","high","vhigh","5more","more","big","med","unacc"
"2416","high","vhigh","4","4","big","med","unacc"
"2417","high","high","3","4","big","low","unacc"
"2418","high","high","4","2","big","high","unacc"
"2419","high","low","5more","more","small","med","unacc"
"2420","low","high","4","4","med","high","vgood"
"2421","vhigh","low","4","4","med","low","unacc"
"2422","low","med","3","more","small","low","unacc"
"2423","med","low","3","more","small","med","acc"
"2424","high","vhigh","5more","4","med","high","unacc"
"2425","med","high","2","2","med","high","unacc"
"2426","low","low","2","more","small","med","unacc"
"2427","high","vhigh","5more","4","med","low","unacc"
"2428","low","med","4","2","small","low","unacc"
"2429","low","high","3","more","big","med","unacc"
"2430","high","vhigh","4","2","big","med","unacc"
"2431","low","low","2","more","med","low","unacc"
"2432","high","med","4","2","small","high","unacc"
"2433","low","high","4","4","small","low","acc"
"2434","low","med","3","2","med","high","unacc"
"2435","vhigh","low","4","2","small","med","unacc"
"2436","high","vhigh","4","2","small","high","unacc"
"2437","med","med","4","more","med","high","vgood"
"2438","high","vhigh","4","more","big","med","unacc"
"2439","high","high","4","2","med","high","unacc"
"2440","vhigh","high","4","4","big","med","unacc"
"2441","med","low","5more","more","big","med","good"
"2442","low","low","3","2","small","low","unacc"
"2443","low","high","3","4","big","high","acc"
"2444","high","high","3","2","med","high","unacc"
"2445","vhigh","high","2","4","big","high","unacc"
"2446","vhigh","vhigh","2","more","med","med","unacc"
"2447","low","vhigh","2","2","big","med","unacc"
"2448","low","high","3","2","big","high","unacc"
"2449","high","vhigh","3","4","big","low","unacc"
"2450","vhigh","med","2","4","big","low","unacc"
"2451","low","low","4","4","big","med","good"
"2452","vhigh","med","2","4","big","low","unacc"
"2453","vhigh","high","2","4","big","med","unacc"
"2454","high","med","4","more","big","low","unacc"
"2455","med","high","2","2","med","low","unacc"
"2456","med","high","5more","more","small","med","unacc"
"2457","med","low","2","more","med","high","acc"
"2458","med","high","5more","2","small","low","unacc"
"2459","med","high","3","2","big","low","unacc"
"2460","low","high","4","2","big","low","unacc"
"2461","low","vhigh","4","more","small","high","good"
"2462","vhigh","vhigh","2","more","small","med","unacc"
"2463","high","high","2","2","big","low","unacc"
"2464","med","high","5more","more","big","low","unacc"
"2465","vhigh","vhigh","3","more","med","high","unacc"
"2466","med","low","2","4","small","high","good"
"2467","vhigh","vhigh","3","more","big","med","unacc"
"2468","low","low","3","more","big","high","vgood"
"2469","med","vhigh","4","more","big","med","acc"
"2470","low","high","2","more","big","high","unacc"
"2471","vhigh","low","4","2","small","med","unacc"
"2472","low","high","4","2","med","low","unacc"
"2473","high","med","2","2","small","high","unacc"
"2474","vhigh","vhigh","5more","more","med","med","unacc"
"2475","low","low","2","more","big","low","unacc"
"2476","med","high","5more","more","small","med","unacc"
"2477","low","vhigh","5more","more","big","med","acc"
"2478","low","med","3","4","big","low","unacc"
"2479","vhigh","vhigh","4","2","big","med","unacc"
"2480","low","med","2","more","small","high","unacc"
"2481","low","med","2","2","med","low","unacc"
"2482","vhigh","low","3","more","med","high","acc"
"2483","vhigh","vhigh","5more","more","small","low","unacc"
"2484","high","vhigh","5more","2","small","high","unacc"
"2485","vhigh","med","2","4","big","med","acc"
"2486","high","vhigh","3","more","med","med","unacc"
"2487","vhigh","low","3","4","big","med","acc"
"2488","med","low","4","2","small","med","unacc"
"2489","low","low","3","4","small","low","unacc"
"2490","med","med","3","more","small","low","unacc"
"2491","high","med","5more","4","small","high","unacc"
"2492","med","med","4","4","med","med","acc"
"2493","med","vhigh","3","4","big","low","unacc"
"2494","vhigh","med","2","2","big","low","unacc"
"2495","vhigh","vhigh","2","4","big","high","unacc"
"2496","vhigh","low","4","2","big","high","unacc"
"2497","high","high","3","more","big","low","unacc"
"2498","high","low","2","more","big","low","unacc"
"2499","vhigh","vhigh","5more","more","big","low","unacc"
"2500","low","high","4","4","big","high","vgood"
"2501","high","high","5more","2","med","low","unacc"
"2502","low","med","2","2","med","low","unacc"
"2503","med","low","2","4","small","low","unacc"
"2504","high","med","5more","4","med","med","unacc"
"2505","high","low","3","2","med","low","unacc"
"2506","high","high","5more","4","small","low","unacc"
"2507","med","high","2","more","small","med","unacc"
"2508","med","high","5more","more","big","low","unacc"
"2509","med","high","5more","4","med","med","unacc"
"2510","low","low","3","4","big","high","acc"
"2511","med","med","2","2","small","med","unacc"
"2512","med","med","2","more","med","low","unacc"
"2513","med","high","4","2","big","high","unacc"
"2514","med","high","3","2","med","low","unacc"
"2515","low","high","4","2","med","low","unacc"
"2516","med","vhigh","4","more","small","low","unacc"
"2517","high","vhigh","5more","more","big","med","unacc"
"2518","low","low","2","2","big","med","unacc"
"2519","vhigh","high","2","4","med","high","unacc"
"2520","high","med","4","4","small","high","unacc"
"2521","low","med","2","2","small","low","unacc"
"2522","med","low","2","2","big","low","unacc"
"2523","low","vhigh","2","4","small","high","acc"
"2524","med","low","5more","2","med","low","unacc"
"2525","low","vhigh","2","2","med","low","unacc"
"2526","med","vhigh","5more","4","big","high","acc"
"2527","high","med","4","4","med","med","acc"
"2528","vhigh","low","2","2","big","high","unacc"
"2529","high","high","5more","more","big","low","unacc"
"2530","med","low","3","4","med","low","unacc"
"2531","med","med","3","4","small","med","unacc"
"2532","low","high","3","2","small","high","unacc"
"2533","high","low","2","4","small","med","unacc"
"2534","low","med","2","4","small","med","acc"
"2535","low","low","3","more","big","med","good"
"2536","vhigh","med","4","4","big","low","unacc"
"2537","high","med","4","4","small","high","acc"
"2538","high","low","5more","4","med","low","unacc"
"2539","med","med","2","more","med","low","unacc"
"2540","vhigh","high","3","more","big","high","unacc"
"2541","med","low","3","4","med","med","unacc"
"2542","high","med","3","more","med","low","unacc"
"2543","high","low","5more","more","big","low","unacc"
"2544","high","high","5more","more","med","high","acc"
"2545","low","low","2","2","med","med","acc"
"2546","high","med","3","4","small","low","unacc"
"2547","low","vhigh","3","more","small","med","good"
"2548","med","vhigh","5more","4","med","low","unacc"
"2549","vhigh","med","5more","2","big","high","unacc"
"2550","high","low","4","4","med","high","acc"
"2551","low","high","4","more","small","high","acc"
"2552","vhigh","high","5more","4","big","med","unacc"
"2553","low","high","3","more","small","med","acc"
"2554","high","low","2","4","small","low","unacc"
"2555","high","high","4","4","med","med","acc"
"2556","high","vhigh","5more","more","big","med","unacc"
"2557","low","low","2","2","small","med","unacc"
"2558","vhigh","high","2","4","med","med","unacc"
"2559","low","low","3","4","big","med","unacc"
"2560","med","vhigh","2","2","big","med","unacc"
"2561","high","vhigh","4","2","med","high","unacc"
"2562","vhigh","low","3","more","small","low","unacc"
"2563","med","high","4","4","med","low","unacc"
"2564","vhigh","low","2","2","small","high","unacc"
"2565","low","high","4","4","big","high","vgood"
"2566","low","med","3","2","med","high","unacc"
"2567","med","vhigh","4","4","med","high","unacc"
"2568","high","med","4","2","med","med","unacc"
"2569","low","low","5more","4","big","high","vgood"
"2570","low","med","5more","2","med","high","unacc"
